# win,Player1_time, Player2_time
         1,0.0353612900,0.0001251698
         1,0.0054936409,0.0000565052
         1,0.0058214664,0.0000617504
         1,0.0036947727,0.0000534058
         1,0.0050323009,0.0000541210
        -1,0.0078964233,0.0000972748
         1,0.0064568520,0.0000598431
         1,0.0030977726,0.0000331402
         1,0.0077731609,0.0000855923
         1,0.0088613033,0.0001041889
        -1,0.0061178207,0.0000865459
         1,0.0081999302,0.0000591278
         1,0.0048937798,0.0001020432
         1,0.0036251545,0.0000412464
         1,0.0064592361,0.0000684261
         1,0.0063838959,0.0000643730
         1,0.0059623718,0.0000863075
         1,0.0034084320,0.0000407696
         1,0.0052020550,0.0000505447
         1,0.0042748451,0.0000550747
         1,0.0089032650,0.0000886917
         1,0.0101227760,0.0001091957
        -1,0.0124039650,0.0001847744
         1,0.0219051838,0.0002033710
         1,0.0044081211,0.0000526905
         1,0.0064713955,0.0000598431
         1,0.0054802895,0.0001060963
         1,0.0043661594,0.0000612736
         1,0.0110704899,0.0001394749
         1,0.0055403709,0.0000593662
         1,0.0036163330,0.0000436306
         1,0.0069460869,0.0000491142
         1,0.0086598396,0.0001540184
         1,0.0035054684,0.0000441074
         1,0.0076200962,0.0000543594
         1,0.0054883957,0.0000622272
         1,0.0101292133,0.0000925064
         1,0.0096302032,0.0001578331
         1,0.0054397583,0.0000679493
         1,0.0080187321,0.0000739098
         1,0.0063827038,0.0000798702
         1,0.0064754486,0.0000698566
        -1,0.0109782219,0.0001542568
         1,0.0041987896,0.0000367165
         1,0.0079195499,0.0000929832
         1,0.0074424744,0.0000531673
         1,0.0094370842,0.0001006126
         1,0.0035991669,0.0000467300
         1,0.0128149986,0.0001513958
         1,0.0045568943,0.0000560284
         1,0.0033442974,0.0000410080
         1,0.0135307312,0.0001251698
         1,0.0072255135,0.0000822544
         1,0.0085639954,0.0000731945
        -1,0.0100860596,0.0001399517
         1,0.0033929348,0.0000300407
         1,0.0092260838,0.0001344681
         1,0.0088005066,0.0000929832
        -1,0.0034828186,0.0000560284
         1,0.0076754093,0.0000989437
        -1,0.0054044724,0.0000739098
         1,0.0046775341,0.0000357628
         1,0.0035598278,0.0000457764
         1,0.0094921589,0.0000722408
         1,0.0043072701,0.0000414848
         1,0.0161035061,0.0002741814
         1,0.0105247498,0.0001270771
         1,0.0080280304,0.0001256466
         1,0.0091981888,0.0001037121
         1,0.0194840431,0.0002472401
        -1,0.0137908459,0.0001773834
         1,0.0056641102,0.0000491142
         1,0.0116765499,0.0001208782
         1,0.0093674660,0.0000994205
         1,0.0095658302,0.0000779629
        -1,0.0080528259,0.0001230240
         1,0.0046072006,0.0000410080
         1,0.0119493008,0.0001637936
         1,0.0064439774,0.0000598431
         1,0.0053639412,0.0000596046
         1,0.0154175758,0.0002384186
        -1,0.0141067505,0.0001997948
         1,0.0035011768,0.0000293255
         1,0.0050871372,0.0001139641
         1,0.0080969334,0.0001149178
         1,0.0064589977,0.0000801086
         1,0.0134093761,0.0001506805
         1,0.0033907890,0.0000410080
         1,0.0172832012,0.0002121925
         1,0.0044498444,0.0000612736
        -1,0.0152101517,0.0001640320
         1,0.0035476685,0.0000290871
        -1,0.0145270824,0.0001804829
         1,0.0049715042,0.0000400543
         1,0.0074508190,0.0001049042
         1,0.0052964687,0.0000429153
         1,0.0072078705,0.0001225471
         1,0.0053815842,0.0000531673
         1,0.0134940147,0.0001404285
         1,0.0115664005,0.0001568794
