# win,Player1_time, Player2_time
         1,0.0003044605,0.0005350113
        -1,0.0003495216,0.0006954670
         1,0.0002820492,0.0004329681
        -1,0.0002264977,0.0004379749
         1,0.0001051426,0.0001556873
         1,0.0001032352,0.0002145767
        -1,0.0000743866,0.0002086163
        -1,0.0002272129,0.0004310608
        -1,0.0002462864,0.0004417896
         1,0.0002887249,0.0005476475
         1,0.0001494884,0.0002751350
        -1,0.0001521111,0.0002725124
         1,0.0000839233,0.0001156330
        -1,0.0002059937,0.0003979206
         1,0.0001516342,0.0002520084
        -1,0.0002548695,0.0005123615
        -1,0.0002577305,0.0004200935
         1,0.0003280640,0.0005857944
         1,0.0002908707,0.0005815029
        -1,0.0004074574,0.0009284019
        -1,0.0002794266,0.0005393028
         1,0.0003366470,0.0006766319
         1,0.0004525185,0.0009169579
        -1,0.0001871586,0.0004546642
         1,0.0001709461,0.0002839565
         1,0.0002439022,0.0005378723
        -1,0.0004382133,0.0008502007
        -1,0.0002710819,0.0004625320
         1,0.0001423359,0.0002727509
         1,0.0003690720,0.0006597042
        -1,0.0001029968,0.0002269745
        -1,0.0002384186,0.0004079342
         1,0.0002303123,0.0004107952
        -1,0.0001614094,0.0003197193
         1,0.0003693104,0.0006330013
         1,0.0003378391,0.0006670952
         1,0.0004739761,0.0008199215
         1,0.0003805161,0.0006744862
        -1,0.0001740456,0.0007007122
         1,0.0002739429,0.0004870892
        -1,0.0003540516,0.0008113384
         1,0.0005879402,0.0013425350
        -1,0.0002737045,0.0005848408
         1,0.0001959801,0.0003349781
         1,0.0003776550,0.0007300377
        -1,0.0003418922,0.0006995201
         1,0.0004422665,0.0007135868
        -1,0.0003700256,0.0007143021
         1,0.0004665852,0.0007684231
        -1,0.0002720356,0.0005254745
         1,0.0004427433,0.0009019375
        -1,0.0002126694,0.0004239082
         1,0.0003180504,0.0005221367
         1,0.0001933575,0.0004415512
        -1,0.0001082420,0.0002298355
        -1,0.0002789497,0.0004746914
         1,0.0002880096,0.0005190372
        -1,0.0001575947,0.0003702641
        -1,0.0002229214,0.0006027222
        -1,0.0004098415,0.0008378029
         1,0.0003714561,0.0006251335
         1,0.0002784729,0.0005826950
         1,0.0004851818,0.0008733273
         1,0.0002615452,0.0005099773
        -1,0.0001890659,0.0004045963
        -1,0.0005085468,0.0008687973
         1,0.0002462864,0.0004389286
         1,0.0003342628,0.0007646084
        -1,0.0001096725,0.0002393723
        -1,0.0002455711,0.0004196167
        -1,0.0002868176,0.0005207062
         1,0.0004315376,0.0007762909
        -1,0.0003480911,0.0007159710
        -1,0.0005888939,0.0013287067
        -1,0.0004541874,0.0009715557
        -1,0.0002942085,0.0005009174
         1,0.0003159046,0.0005230904
         1,0.0004405975,0.0009903908
        -1,0.0003776550,0.0006875992
        -1,0.0002195835,0.0003802776
         1,0.0002067089,0.0003681183
        -1,0.0003237724,0.0007963181
         1,0.0002713203,0.0004477501
         1,0.0002126694,0.0003948212
         1,0.0002846718,0.0006227493
        -1,0.0003299713,0.0006289482
        -1,0.0001938343,0.0003874302
         1,0.0008659363,0.0020413399
        -1,0.0001370907,0.0003275871
         1,0.0004515648,0.0007801056
        -1,0.0002856255,0.0005662441
         1,0.0002388954,0.0003683567
         1,0.0002038479,0.0004284382
        -1,0.0003948212,0.0007288456
        -1,0.0003936291,0.0006842613
         1,0.0006451607,0.0011730194
        -1,0.0002915859,0.0005929470
         1,0.0003077984,0.0005292892
         1,0.0004932880,0.0009958744
        -1,0.0004045963,0.0011081696
