# win,Player1_time, Player2_time
        -1,0.0003070831,0.0005729198
        -1,0.0006258488,0.0011141300
         1,0.0004379749,0.0007131100
         1,0.0004837513,0.0008709431
        -1,0.0003247261,0.0006480217
         1,0.0002148151,0.0003435612
        -1,0.0004510880,0.0008616447
        -1,0.0001599789,0.0003302097
        -1,0.0004568100,0.0008192062
        -1,0.0004546642,0.0007436275
         1,0.0001723766,0.0002658367
        -1,0.0003728867,0.0007548332
        -1,0.0002918243,0.0004849434
        -1,0.0002689362,0.0004556179
         1,0.0004496574,0.0009100437
        -1,0.0004835129,0.0010936260
        -1,0.0003771782,0.0007953644
         1,0.0002875328,0.0004036427
        -1,0.0005095005,0.0009119511
         1,0.0005555153,0.0010256767
         1,0.0004482269,0.0008320808
        -1,0.0004041195,0.0007839203
         1,0.0003716946,0.0006735325
        -1,0.0000932217,0.0002160072
        -1,0.0003762245,0.0006575584
         1,0.0002624989,0.0004541874
        -1,0.0003283024,0.0006563663
         1,0.0005655289,0.0009086132
         1,0.0002760887,0.0005686283
         1,0.0005836487,0.0011429787
        -1,0.0005915165,0.0026824474
        -1,0.0004489422,0.0008637905
        -1,0.0004308224,0.0007498264
        -1,0.0002462864,0.0004620552
        -1,0.0003108978,0.0005252361
         1,0.0004246235,0.0006980896
        -1,0.0002949238,0.0005879402
         1,0.0002903938,0.0004968643
         1,0.0003662109,0.0006866455
         1,0.0002923012,0.0005295277
        -1,0.0001740456,0.0004134178
         1,0.0002558231,0.0004231930
        -1,0.0002520084,0.0004453659
        -1,0.0004184246,0.0008761883
         1,0.0003337860,0.0005850792
        -1,0.0008735657,0.0019209385
         1,0.0004363060,0.0008254051
         1,0.0003285408,0.0006167889
        -1,0.0000920296,0.0002160072
         1,0.0002622604,0.0004200935
        -1,0.0003578663,0.0007350445
        -1,0.0003297329,0.0005831718
        -1,0.0004529953,0.0007760525
        -1,0.0003564358,0.0007634163
         1,0.0002455711,0.0004143715
        -1,0.0002815723,0.0005218983
        -1,0.0002055168,0.0004308224
        -1,0.0004820824,0.0008583069
        -1,0.0003554821,0.0008366108
         1,0.0007009506,0.0015599728
         1,0.0004465580,0.0008997917
         1,0.0001928806,0.0003900528
         1,0.0002908707,0.0005383492
        -1,0.0001995564,0.0004503727
         1,0.0003309250,0.0005648136
        -1,0.0004661083,0.0008716583
        -1,0.0004274845,0.0008509159
        -1,0.0004677773,0.0008015633
        -1,0.0002210140,0.0006165504
        -1,0.0002601147,0.0004544258
         1,0.0002863407,0.0005779266
         1,0.0004653931,0.0010132790
        -1,0.0004625320,0.0012824535
        -1,0.0002441406,0.0004360676
        -1,0.0002121925,0.0003852844
        -1,0.0005476475,0.0010278225
         1,0.0005383492,0.0009269714
         1,0.0003750324,0.0007245541
        -1,0.0005083084,0.0009670258
         1,0.0002436638,0.0004072189
         1,0.0001916885,0.0003564358
         1,0.0005073547,0.0010464191
         1,0.0007736683,0.0016200542
        -1,0.0001993179,0.0004968643
        -1,0.0001811981,0.0003218651
         1,0.0004389286,0.0008001328
        -1,0.0001289845,0.0002985001
         1,0.0002219677,0.0003504753
        -1,0.0006790161,0.0013461113
         1,0.0003538132,0.0006010532
        -1,0.0002303123,0.0004370213
        -1,0.0004234314,0.0007722378
        -1,0.0003542900,0.0006027222
        -1,0.0002968311,0.0006024837
        -1,0.0004246235,0.0010371208
        -1,0.0003883839,0.0007555485
        -1,0.0005042553,0.0009300709
         1,0.0005328655,0.0009613037
        -1,0.0001513958,0.0003037453
         1,0.0003058910,0.0005428791
