# win,Player1_time, Player2_time
        -1,0.0003511906,0.0006029606
         1,0.0003232956,0.0005342960
        -1,0.0000681877,0.0002014637
         1,0.0001940727,0.0003137589
         1,0.0003218651,0.0005884171
        -1,0.0003094673,0.0005931854
        -1,0.0004434586,0.0007107258
         1,0.0002281666,0.0003948212
        -1,0.0001654625,0.0002691746
         1,0.0001971722,0.0003101826
         1,0.0002465248,0.0004351139
         1,0.0002634525,0.0004899502
         1,0.0003316402,0.0005657673
        -1,0.0002794266,0.0005261898
        -1,0.0003569126,0.0006358624
         1,0.0003063679,0.0005280972
        -1,0.0003600121,0.0006594658
         1,0.0003015995,0.0004918575
         1,0.0002319813,0.0003979206
         1,0.0004699230,0.0007066727
         1,0.0002679825,0.0005254745
        -1,0.0002267361,0.0004615784
         1,0.0001866817,0.0003290176
         1,0.0002164841,0.0003919601
        -1,0.0002560616,0.0004725456
         1,0.0002529621,0.0004422665
         1,0.0003073215,0.0005788803
         1,0.0003387928,0.0005826950
        -1,0.0003287792,0.0006473064
        -1,0.0002977848,0.0005655289
         1,0.0003457069,0.0010449886
         1,0.0005290508,0.0012524128
        -1,0.0003731251,0.0007436275
         1,0.0002429485,0.0004231930
        -1,0.0003287792,0.0006015301
        -1,0.0004279613,0.0007488728
        -1,0.0003693104,0.0006864071
         1,0.0002768040,0.0004937649
        -1,0.0004985332,0.0009391308
         1,0.0003161430,0.0005087852
        -1,0.0002071857,0.0003955364
        -1,0.0004076958,0.0007143021
         1,0.0004179478,0.0006816387
        -1,0.0003271103,0.0006334782
        -1,0.0004551411,0.0008690357
        -1,0.0003044605,0.0005607605
        -1,0.0008802414,0.0019381046
         1,0.0001671314,0.0002655983
         1,0.0003411770,0.0006456375
        -1,0.0002498627,0.0005557537
         1,0.0001111031,0.0001430511
        -1,0.0004062653,0.0008242130
        -1,0.0002672672,0.0004639626
        -1,0.0002441406,0.0004801750
         1,0.0001554489,0.0002517700
        -1,0.0002820492,0.0003349781
         1,0.0002739429,0.0004305840
        -1,0.0004041195,0.0007588863
         1,0.0003836155,0.0006237030
         1,0.0002944469,0.0006527901
        -1,0.0006470680,0.0013844967
        -1,0.0004374981,0.0011739731
         1,0.0002238750,0.0003759861
        -1,0.0004394054,0.0008640289
        -1,0.0003128052,0.0006294250
         1,0.0002658367,0.0004439354
         1,0.0001742840,0.0003521442
        -1,0.0002560616,0.0007894039
        -1,0.0004265308,0.0007183552
        -1,0.0004472733,0.0007801056
         1,0.0001626015,0.0002512932
        -1,0.0002553463,0.0004858971
         1,0.0004458427,0.0007236004
         1,0.0005543232,0.0013623238
        -1,0.0006201267,0.0015430450
         1,0.0002346039,0.0003893375
         1,0.0006041527,0.0011026859
         1,0.0003738403,0.0007126331
        -1,0.0006022453,0.0011587143
         1,0.0004751682,0.0007760525
        -1,0.0002093315,0.0004057884
        -1,0.0003457069,0.0006384850
         1,0.0002474785,0.0003716946
        -1,0.0001440048,0.0003540516
        -1,0.0006606579,0.0012905598
        -1,0.0006916523,0.0016396046
         1,0.0005295277,0.0008809566
         1,0.0004374981,0.0008382797
         1,0.0003623962,0.0007452965
        -1,0.0003752708,0.0007872581
         1,0.0006952286,0.0011789799
        -1,0.0001556873,0.0003128052
        -1,0.0003185272,0.0005276203
        -1,0.0006134510,0.0011987686
         1,0.0007214546,0.0015916824
        -1,0.0002241135,0.0005264282
         1,0.0001680851,0.0002729893
        -1,0.0006473064,0.0011458397
        -1,0.0003492832,0.0006084442
        -1,0.0004546642,0.0008659363
